cusip,issuer_name,state,issue_date,maturity_date,par_value,coupon_rate,bond_type
912828ZT6,City of Austin Texas,TX,2023-01-15,2033-01-15,5000000,4.25,GO
912828ZU3,State of California,CA,2022-06-01,2042-06-01,10000000,3.75,GO
912828ZV1,New York City Municipal Water,NY,2023-03-10,2043-03-10,25000000,5.00,REV
912828ZW9,Port Authority of NY & NJ,NJ,2021-11-20,2051-11-20,15000000,4.50,REV
912828ZX7,Chicago O'Hare International Airport,IL,2022-09-01,2047-09-01,8000000,3.90,REV
912828ZY5,Commonwealth of Massachusetts,MA,2023-05-15,2038-05-15,12000000,4.10,GO
912828ZZ2,Miami-Dade County,FL,2022-08-22,2037-08-22,6000000,3.60,GO
913828AA4,Denver International Airport,CO,2023-02-01,2048-02-01,20000000,4.80,REV
913828AB2,State of Washington,WA,2022-12-10,2032-12-10,7500000,3.50,GO
913828AC0,City of Phoenix Arizona,AZ,2023-04-01,2038-04-01,9000000,4.00,GO
