cusip,issuer_name,state,issue_date,maturity_date,par_value,coupon_rate,bond_type
912828ZT0,City of Austin Texas,TX,2023-01-15,2033-01-15,5000000,4.25,GO
912828ZU7,State of California,CA,2022-06-01,2042-06-01,10000000,3.75,GO
912828ZW3,New York City Water Authority,NY,2023-03-10,2043-03-10,25000000,5.00,REV
912828ZX1,Port Authority of NY and NJ,NJ,2021-11-20,2051-11-20,15000000,4.50,REV
912828ZY9,Chicago Ohare International Airport,IL,2022-09-01,2047-09-01,8000000,3.90,REV
912828ZZ6,Commonwealth of Massachusetts,MA,2023-05-15,2038-05-15,12000000,4.10,GO
913828AA7,Miami-Dade County,FL,2022-08-22,2037-08-22,6000000,3.60,GO
913828AB5,Denver International Airport,CO,2023-02-01,2048-02-01,20000000,4.80,REV
913828AC3,State of Washington,WA,2022-12-10,2032-12-10,7500000,3.50,GO
913828AD1,City of Phoenix Arizona,AZ,2023-04-01,2038-04-01,9000000,4.00,GO
913828AF6,Harris County Texas,TX,2023-08-01,2043-08-01,11000000,4.20,REV
913828AG4,Cook County Illinois,IL,2022-07-15,2032-07-15,6000000,3.50,GO
913828AH2,San Francisco Bay Area Transit,CA,2023-09-15,2053-09-15,30000000,5.10,REV
913828AJ8,City of Seattle Washington,WA,2022-04-01,2042-04-01,15000000,4.50,GO
913828AK5,State of Ohio,OH,2023-11-01,2043-11-01,18000000,4.00,GO
913828AL3,City of Portland Oregon,OR,2022-03-15,2037-03-15,7000000,3.80,GO
913828AM1,Dallas Fort Worth Airport Authority,TX,2023-06-20,2048-06-20,35000000,5.25,REV
913828AN9,Metropolitan Water District of Southern California,CA,2022-10-01,2052-10-01,45000000,4.75,REV
913828AP4,State of Minnesota,MN,2023-02-28,2033-02-28,8500000,3.90,GO
913828AQ2,City of Atlanta Georgia,GA,2022-08-15,2042-08-15,12500000,4.30,GO
913828AR0,Los Angeles County,CA,2023-05-01,2043-05-01,7000000,3.80,GO
913828AS8,State of Virginia,VA,2022-11-15,2037-11-15,9500000,3.65,GO
913828AT6,Charlotte Douglas International Airport,NC,2023-01-30,2053-01-30,28000000,5.00,REV
913828AU3,City of Denver Colorado,CO,2022-09-01,2042-09-01,10000000,4.15,GO
913828AV1,King County Washington,WA,2023-04-15,2038-04-15,6500000,3.70,GO
913828AW9,State of Connecticut,CT,2022-07-01,2032-07-01,14000000,4.40,GO
913828AX7,Tampa Bay Water Authority,FL,2023-10-01,2048-10-01,22000000,4.90,REV
913828AY5,City of Nashville Tennessee,TN,2022-05-15,2042-05-15,8000000,4.05,GO
913828AZ2,State of Maryland,MD,2023-03-20,2033-03-20,11000000,3.95,GO
913828BA6,Detroit Metropolitan Airport,MI,2022-12-01,2047-12-01,17000000,4.60,REV
913828BB4,City of Indianapolis Indiana,IN,2023-07-10,2038-07-10,5500000,3.75,GO
913828BC2,Allegheny County Pennsylvania,PA,2022-06-15,2037-06-15,9000000,3.85,GO
913828BD0,State of New Jersey,NJ,2023-09-01,2043-09-01,20000000,4.35,GO
913828BE8,City of Las Vegas Nevada,NV,2022-04-20,2042-04-20,7500000,4.10,GO
913828BF5,Oregon Health and Science University,OR,2023-11-15,2048-11-15,16000000,4.70,REV
913828BG3,City of Milwaukee Wisconsin,WI,2022-08-01,2032-08-01,4500000,3.55,GO
913828BH1,State of Iowa,IA,2023-02-15,2033-02-15,6000000,3.60,GO
913828BJ7,Maricopa County Arizona,AZ,2022-10-15,2042-10-15,13000000,4.25,GO
913828BK4,City of Columbus Ohio,OH,2023-06-01,2038-06-01,8500000,3.90,GO
913828BL2,State of North Carolina,NC,2022-12-15,2042-12-15,15000000,4.00,GO
